DATASET_TITLE,Age (UV04),,,,,,,,,,FROM,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
AREA_TYPE,Region,,,,,,,,,,TO,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,,,,,HEADING,All People,Aged under 1 year,Aged 1 year,Aged 2 years,Aged 3 years,Aged 4 years,Aged 5 years,Aged 6 years,Aged 7 years,Aged 8 years,Aged 9 years,Aged 10 years,Aged 11 years,Aged 12 years,Aged 13 years,Aged 14 years,Aged 15 years,Aged 16 years,Aged 17 years,Aged 18 years,Aged 19 years,Aged 20 years,Aged 21 years,Aged 22 years,Aged 23 years,Aged 24 years,Aged 25 years,Aged 26 years,Aged 27 years,Aged 28 years,Aged 29 years,Aged 30 years,Aged 31 years,Aged 32 years,Aged 33 years,Aged 34 years,Aged 35 years,Aged 36 years,Aged 37 years,Aged 38 years,Aged 39 years,Aged 40 years,Aged 41 years,Aged 42 years,Aged 43 years,Aged 44 years,Aged 45 years,Aged 46 years,Aged 47 years,Aged 48 years,Aged 49 years,Aged 50 years,Aged 51 years,Aged 52 years,Aged 53 years,Aged 54 years,Aged 55 years,Aged 56 years,Aged 57 years,Aged 58 years,Aged 59 years,Aged 60 years,Aged 61 years,Aged 62 years,Aged 63 years,Aged 64 years,Aged 65 years,Aged 66 years,Aged 67 years,Aged 68 years,Aged 69 years,Aged 70 years,Aged 71 years,Aged 72 years,Aged 73 years,Aged 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 to 94 years,Aged 95 to 99 years,Aged 100 years and over
,,,,,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,,,,,STATISTICAL_UNIT,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
UK_CODE,UK_NAME,GB_CODE,GB_NAME,EW_CODE,EW_NAME,CTRY_CODE,CTRY_NAME,GOR_CODE,GOR_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"213","United Kingdom","078","Great Britain","727","England and Wales","064","England","A","North East",,,2515442,25548,27074,27499,28589,29734,29768,30252,31424,32039,33961,34128,32807,32776,34128,33595,33999,33558,31823,31973,32681,33841,33437,30807,26254,25495,27283,27841,28475,30869,33719,35076,34018,35393,36083,37664,38621,39109,39252,39147,39000,37058,36719,36637,37006,35638,34178,33336,33872,33151,32733,32795,33869,34625,37379,39114,29649,30525,28637,26905,25232,24880,26511,26948,27196,25797,25095,24518,23992,23839,23762,24008,22330,21583,19951,20467,88595,55430,28926,10947,2495,374
"213","United Kingdom","078","Great Britain","727","England and Wales","064","England","B","North West",,,6729764,74219,76787,79091,80373,84919,82894,84042,87290,89730,94728,95647,92556,92307,94412,91303,91911,92010,86684,83932,81968,84198,83813,77780,71894,71640,74605,77871,80823,87676,94660,96912,96506,99556,99778,103078,103152,105947,104352,103953,102423,98996,95641,93419,92874,90001,86857,84713,86104,85956,84522,85992,88705,92305,99967,104048,78258,80620,79220,76265,69075,67557,70099,69485,68790,66795,65317,62493,59711,58918,59356,58361,57057,54114,51733,51134,225646,148077,83292,32437,7406,1028
"213","United Kingdom","078","Great Britain","727","England and Wales","064","England","D","Yorkshire and The Humber",,,4964833,54531,56839,58687,59979,61994,62663,61860,64461,64920,68050,69109,67122,66294,67788,66174,65077,64967,62314,61773,65856,69095,66385,60567,54375,53484,56010,57545,60255,65142,70103,72596,71767,74184,73918,75539,75925,76718,76363,75899,74209,72583,70290,68854,69263,66563,64330,62140,63448,61980,62013,63341,65051,67305,73212,76803,58087,60784,57652,54708,49338,47214,50691,50308,50648,49039,47541,45915,44088,43400,42733,42901,41263,39620,38226,38010,168519,111571,63597,24687,5809,771
"213","United Kingdom","078","Great Britain","727","England and Wales","064","England","E","East Midlands",,,4172174,44486,46532,48265,49081,50649,50591,51612,53203,53810,55998,57672,56235,55113,56381,53933,53262,53123,50902,50558,52259,54770,52485,48490,45019,44337,45284,47462,49630,54105,57886,60867,59807,63237,63580,65355,65176,66159,65690,65094,63306,62061,59728,58788,57918,55665,54364,52954,54362,53740,53835,54428,57176,58116,63290,66208,51541,54384,52643,48543,42999,40691,42505,42129,41826,40281,39039,37832,36467,36329,36727,36144,35018,33936,32696,31808,143481,94157,51772,19946,4609,634
