DATASET_TITLE,"Domestic Energy Consumption, 2005",,,,,,FROM,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005
AREA_TYPE,Local Authority,,,,,,TO,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005
GEO_HIERARCHY,2001 Statistical Geography Hierarchy,,,,,,HEADING,Total Consumption of Domestic Electricity and Gas,Consumption of Ordinary Domestic Electricity,Consumption of Economy 7 Domestic Electricity,Consumption of Domestic Gas,Number of Ordinary Domestic Electricity meters,Average Consumption of Ordinary Domestic Electricity,Number of Economy 7 Domestic Electricity meters,Average Consumption of Economy 7 Domestic Electricity,Number of Domestic Gas meters,Average Consumption of Domestic Gas
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Average,Count,Average,Count,Average
,,,,,,,STATISTICAL_UNIT,Megawatt Hours,Megawatt Hours,Megawatt Hours,Megawatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E12000001","North East",,,"E06000001","Hartlepool",,,869886,138268,16447,715172,38934,3551,2614,6292,38584,18535
"E12000001","North East",,,"E06000002","Middlesbrough",,,1283728,201243,32014,1050471,54798,3672,5615,5702,56712,18523
"E12000001","North East",,,"E06000003","Redcar and Cleveland",,,1309222,212633,34695,1061894,57040,3728,5432,6387,56952,18645
"E12000001","North East",,,"E06000004","Stockton-on-Tees",,,1753511,289814,31618,1432080,75039,3862,5252,6020,74654,19183
"E12000001","North East",,,"E06000005","Darlington",,,1031025,161814,30875,838336,43011,3762,4600,6712,42792,19591
"E12000001","North East",,,"E06000047","Durham",,,5005605,768917,95719,4140970,214706,3581,12779,7490,200518,20651
"E12000001","North East",,,"E06000048","Northumberland",,,2894444,511177,131555,2251710,129529,3946,17288,7610,108898,20677
"E12000001","North East",,,"E08000020","Gateshead",,,2058651,299078,41580,1717993,85156,3512,6747,6163,84194,20405
"E12000001","North East",,,"E08000021","Newcastle upon Tyne",,,2653362,392813,97913,2162637,109560,3585,14670,6674,105880,20425
"E12000001","North East",,,"E08000022","North Tyneside",,,2065594,311354,43757,1710484,86482,3600,7196,6081,85759,19945
"E12000001","North East",,,"E08000023","South Tyneside",,,1497001,227747,16008,1253246,66290,3436,2492,6424,65489,19137
"E12000001","North East",,,"E08000024","Sunderland",,,2836883,422454,38765,2375665,118330,3570,6557,5912,116971,20310
"E12000002","North West",,,"E06000006","Halton",,,1124589,201555,15147,907887,50470,3994,2058,7360,51057,17782
"E12000002","North West",,,"E06000007","Warrington",,,1902008,327107,31200,1543701,78984,4141,4267,7312,80810,19103
"E12000002","North West",,,"E06000008","Blackburn with Darwen",,,1350146,204284,45540,1100322,49400,4135,5261,8656,54630,20141
"E12000002","North West",,,"E06000009","Blackpool",,,1468387,230916,69800,1167670,52867,4368,8796,7935,60776,19213
"E12000002","North West",,,"E06000049","Cheshire East",,,3630316,620153,151531,2858632,136514,4543,17059,8883,135612,21079
"E12000002","North West",,,"E06000050","Cheshire West and Chester",,,3064801,560697,87370,2416734,131723,4257,10257,8518,125805,19210
"E12000002","North West","E10000006","Cumbria","E07000026","Allerdale",,,883927,145166,54657,684104,35006,4147,5664,9650,34877,19615
"E12000002","North West","E10000006","Cumbria","E07000027","Barrow-in-Furness",,,642509,105227,20473,516809,27565,3817,2726,7510,31027,16657
"E12000002","North West","E10000006","Cumbria","E07000028","Carlisle",,,964183,161194,49473,753515,39075,4125,5290,9352,39953,18860
"E12000002","North West","E10000006","Cumbria","E07000029","Copeland",,,663151,100060,38714,524378,25259,3961,4048,9564,26969,19444
"E12000002","North West","E10000006","Cumbria","E07000030","Eden",,,331094,74856,65273,190965,16516,4532,5976,10922,9598,19896
"E12000002","North West","E10000006","Cumbria","E07000031","South Lakeland",,,999791,160481,104267,735043,38076,4215,10803,9652,36802,19973
"E12000002","North West","E10000017","Lancashire","E07000117","Burnley",,,886011,137818,19965,728228,34207,4029,2607,7658,38166,19081
"E12000002","North West","E10000017","Lancashire","E07000118","Chorley",,,1007767,165858,27812,814097,37405,4434,3363,8270,40601,20051
"E12000002","North West","E10000017","Lancashire","E07000119","Fylde",,,803596,124225,43527,635844,27576,4505,5229,8324,29731,21387
"E12000002","North West","E10000017","Lancashire","E07000120","Hyndburn",,,793079,119765,25315,647999,30181,3968,3025,8368,34110,18997
"E12000002","North West","E10000017","Lancashire","E07000121","Lancaster",,,1225962,195299,59969,970694,48256,4047,7231,8293,51302,18921
"E12000002","North West","E10000017","Lancashire","E07000122","Pendle",,,877028,133279,26073,717677,33135,4022,3544,7357,36865,19468
